width,n_hidden,N,D,C,batch_size,lr,steps,iso_C,seed,init_loss,val_loss
512,2,280065,8192,13497319424.0,256,0.008867570478021516,32,0.0,0,0.9467294311523438,0.13321438640356065
512,2,280065,16384,26994638848.0,256,0.008867570478021516,64,0.0,0,0.9467294311523438,0.04058996051549912
512,2,280065,32768,53989277696.0,256,0.008867570478021516,128,0.0,0,0.9467294311523438,0.030021092146635057
512,2,280065,65536,107978555392.0,256,0.008867570478021516,256,0.0,0,0.9467294311523438,0.0269643871486187
512,2,280065,131072,215957110784.0,256,0.00578188090091053,512,0.0,0,0.9467294311523438,0.021583841405808928
512,2,280065,262144,431914221568.0,256,0.003769933020004902,1024,0.0,0,0.9467294311523438,0.017171419449150564
512,2,280065,524288,863828443136.0,256,0.0024580919633064584,2048,0.0,0,0.9467294311523438,0.014307283088564875
512,2,280065,1048576,1727656886272.0,256,0.0016027383160414723,4096,0.0,0,0.9467294311523438,0.01305078085511923
512,2,280065,2097152,3455313772544.0,256,0.0010450260397304745,8192,0.0,0,0.9467294311523438,0.012055947901681068
512,2,280065,4194304,6910627545088.0,256,0.0006813834877374333,16384,0.0,0,0.9467294311523438,0.01151088379789144
512,2,280065,8388608,13821255090176.0,256,0.000444279319088521,32768,0.0,0,0.9467294311523438,0.011228881883434953
512,2,280065,16777216,27642510180352.0,256,0.0003,65536,0.0,0,0.9467294311523438,0.010747766054701062
8,2,345,1024,1595392.0,256,0.04200644793292891,4,0.0,1,0.9653117752075195,0.7322721576690674
8,2,345,2048,3190784.0,256,0.04200644793292891,8,0.0,1,0.9653117752075195,0.3840223050117493
8,2,345,4096,6381568.0,256,0.04200644793292891,16,0.0,1,0.9653117752075195,0.25571657180786134
8,2,345,8192,12763136.0,256,0.04200644793292891,32,0.0,1,0.9653117752075195,0.23321978211402894
8,2,345,16384,25526272.0,256,0.04200644793292891,64,0.0,1,0.9653117752075195,0.19379184603691102
8,2,345,32768,51052544.0,256,0.04200644793292891,128,0.0,1,0.9653117752075195,0.15614395797252656
8,2,345,65536,102105088.0,256,0.04200644793292891,256,0.0,1,0.9653117752075195,0.13552745640277863
8,2,345,131072,204210176.0,256,0.027389269656268186,512,0.0,1,0.9653117752075195,0.12755288392305375
8,2,345,262144,408420352.0,256,0.01785849861672575,1024,0.0,1,0.9653117752075195,0.12094181239604951
8,2,345,524288,816840704.0,256,0.011644194125877598,2048,0.0,1,0.9653117752075195,0.11714395344257356
8,2,345,1048576,1633681408.0,256,0.007592309955672045,4096,0.0,1,0.9653117752075195,0.11549627244472505
8,2,345,2097152,3267362816.0,256,0.004950378690002509,8192,0.0,1,0.9653117752075195,0.1143323501944542
8,2,345,4194304,6534725632.0,256,0.00322777248525304,16384,0.0,1,0.9653117752075195,0.1135691797733307
8,2,345,8388608,13069451264.0,256,0.0021045895413207886,32768,0.0,1,0.9653117752075195,0.11239554196596147
